query_id,doctor_id,rating,total_reviews,experience_years,consultation_fee,distance_km,is_available,accepts_insurance,hospital_type_encoded,avg_consultation_minutes,fee_within_budget,relevance
23,DOC0131,3.7,389,21,850,17.76,0,1,1,24,0,5
24,DOC0004,4.0,697,25,150,10.52,1,1,0,17,1,9
24,DOC0019,4.4,262,6,150,5.4,1,1,0,23,1,9
24,DOC0034,3.9,392,3,900,13.73,1,1,1,18,0,5
24,DOC0066,4.3,468,11,900,14.47,0,1,1,9,0,6
24,DOC0077,3.7,685,18,550,4.71,0,1,2,18,0,7
24,DOC0093,3.8,598,4,350,5.18,1,0,0,25,0,5
24,DOC0132,3.7,64,15,950,15.68,1,1,1,19,0,5
24,DOC0144,3.9,46,10,950,4.03,1,0,1,19,0,5
25,DOC0008,4.6,782,11,400,3.35,1,1,0,16,1,9
25,DOC0022,3.6,711,5,500,12.69,1,0,0,20,1,7
25,DOC0039,4.1,429,17,1650,14.79,1,0,1,8,1,9
25,DOC0058,4.3,303,9,1600,10.72,1,1,1,24,1,9
25,DOC0067,4.5,295,24,1750,11.84,1,1,1,13,1,9
25,DOC0090,4.0,684,32,950,15.78,1,1,2,12,1,9
25,DOC0116,4.1,480,28,1750,12.9,1,1,1,14,1,9
25,DOC0134,3.3,158,25,1650,16.22,0,0,1,22,1,4
26,DOC0014,4.0,151,27,300,13.23,1,1,0,25,1,9
26,DOC0045,3.7,637,30,1000,12.07,1,1,1,23,1,9
26,DOC0051,3.8,399,28,900,6.69,0,1,1,18,1,9
26,DOC0062,3.8,644,21,900,13.79,1,0,1,11,1,9
26,DOC0114,4.4,500,7,850,15.53,1,0,1,17,1,7
26,DOC0145,3.8,608,15,950,6.42,0,1,1,18,1,9
27,DOC0013,4.8,334,3,200,9.17,1,0,0,15,1,9
27,DOC0024,3.6,29,32,350,7.17,1,0,0,11,1,7
27,DOC0057,3.8,333,16,950,10.73,1,0,1,11,0,6
27,DOC0079,4.0,77,17,400,11.54,1,0,2,19,1,8
27,DOC0119,3.6,278,5,850,7.29,1,1,1,12,0,5
27,DOC0131,3.7,389,21,850,9.17,0,1,1,24,0,6
28,DOC0008,4.6,782,11,400,11.85,1,1,0,16,0,8
28,DOC0022,3.6,711,5,500,3.58,1,0,0,20,0,5
28,DOC0039,4.1,429,17,1650,6.03,1,0,1,8,0,8
28,DOC0058,4.3,303,9,1600,10.19,1,1,1,24,0,7
28,DOC0067,4.5,295,24,1750,6.92,1,1,1,13,0,9
28,DOC0090,4.0,684,32,950,8.25,1,1,2,12,0,8
28,DOC0116,4.1,480,28,1750,8.66,1,1,1,14,0,8
28,DOC0134,3.3,158,25,1650,7.98,0,0,1,22,0,3
29,DOC0005,4.5,706,23,350,10.36,1,0,0,10,1,9
29,DOC0020,3.6,485,3,250,2.56,1,0,0,25,1,9
29,DOC0042,4.0,661,27,950,10.09,1,0,1,22,0,7
29,DOC0059,4.4,300,14,800,6.25,0,1,1,9,0,7
29,DOC0072,4.5,584,25,800,10.84,0,1,1,21,0,8
29,DOC0084,4.0,244,22,550,5.42,1,1,2,16,0,9
29,DOC0111,3.6,100,30,800,12.59,1,1,1,17,0,6
29,DOC0122,3.8,205,15,800,12.05,1,1,1,13,0,7
29,DOC0143,4.8,748,25,750,3.8,1,0,1,13,0,9
30,DOC0030,3.6,655,14,350,7.17,1,1,0,15,1,9
30,DOC0048,4.1,656,10,800,13.28,1,0,1,12,1,8
30,DOC0073,3.6,541,23,950,3.27,1,0,1,21,0,7
30,DOC0085,3.8,613,31,500,11.84,1,1,2,12,1,9
30,DOC0092,3.9,214,4,250,6.59,1,0,0,22,1,8
30,DOC0115,4.4,98,17,850,5.01,1,1,1,10,0,8
30,DOC0128,3.9,479,27,950,5.51,1,0,1,10,0,7
31,DOC0001,4.0,738,19,400,9.8,1,0,0,15,1,9
31,DOC0026,3.8,138,31,300,9.64,1,0,0,25,1,8
31,DOC0043,4.3,743,5,1200,7.95,1,1,1,21,1,8
31,DOC0060,4.0,607,6,1350,12.95,1,0,1,23,0,5
31,DOC0063,4.3,725,10,1200,4.65,1,0,1,17,1,9
31,DOC0091,4.1,474,22,350,8.69,1,1,0,15,1,9
31,DOC0130,3.6,667,22,1300,9.15,1,1,1,15,0,7
31,DOC0138,4.7,96,11,1300,8.9,1,1,1,20,0,7
32,DOC0010,4.5,586,17,600,24.44,1,1,0,8,0,8
32,DOC0021,3.7,618,21,650,13.18,1,1,0,24,0,7
32,DOC0044,4.7,618,29,2050,8.58,1,1,1,8,0,9
32,DOC0088,3.6,290,28,1050,15.47,1,1,2,22,0,6
32,DOC0096,3.6,545,18,550,13.79,1,1,0,22,0,7
32,DOC0112,4.0,377,23,2000,13.22,1,0,1,12,0,7
32,DOC0129,3.8,144,19,2050,8.02,0,1,1,21,0,5
32,DOC0150,4.0,677,18,2200,19.13,1,1,1,23,0,7
33,DOC0053,3.9,108,17,850,6.17,1,1,1,22,0,7
33,DOC0068,4.1,113,16,900,12.72,1,1,1,21,0,7
33,DOC0103,3.7,130,19,200,8.65,1,1,0,25,1,8
33,DOC0110,4.2,41,12,800,14.19,1,1,1,13,0,6
33,DOC0149,4.5,49,24,900,3.68,0,1,1,16,0,8
34,DOC0003,4.4,407,22,200,8.43,0,1,0,17,1,9
34,DOC0035,4.0,587,19,850,9.04,0,1,1,21,0,7
34,DOC0054,4.2,206,3,900,7.74,1,0,1,19,0,5
34,DOC0061,3.7,251,10,800,8.45,1,0,1,20,1,7
34,DOC0100,4.1,445,29,250,3.85,1,1,0,18,1,9
34,DOC0137,4.2,456,13,900,3.83,1,0,1,22,0,7
35,DOC0075,4.3,515,29,900,9.92,1,1,1,25,1,9
35,DOC0094,4.0,303,28,400,4.63,1,0,0,12,1,9
35,DOC0120,3.8,152,23,950,11.41,1,1,1,10,1,9
35,DOC0121,3.4,776,12,950,8.29,1,1,1,9,1,8
36,DOC0006,4.6,675,17,450,8.88,1,1,0,15,0,9
36,DOC0016,3.4,239,10,400,4.21,1,1,0,23,0,6
36,DOC0036,4.6,331,12,1650,9.15,1,1,1,21,0,8
36,DOC0052,4.3,744,23,1800,7.29,1,0,1,13,0,7
36,DOC0064,4.4,290,5,1700,8.96,1,1,1,14,0,6
36,DOC0087,4.0,97,26,950,7.93,0,1,2,15,0,6
36,DOC0102,3.9,382,24,400,3.1,1,1,0,21,0,8
36,DOC0118,3.9,416,14,1800,10.69,1,0,1,18,0,5
36,DOC0123,3.8,259,17,1700,11.06,1,1,1,17,0,7
36,DOC0147,4.4,746,19,1600,3.58,1,0,1,24,0,8
37,DOC0031,4.3,428,29,950,9.18,1,1,1,10,1,9
37,DOC0049,3.4,755,27,850,8.14,0,1,1,13,1,7
37,DOC0082,3.9,329,25,400,9.65,1,0,2,20,1,9
37,DOC0097,3.9,510,12,250,4.72,1,1,0,21,1,9
37,DOC0108,3.9,355,27,800,9.81,0,0,1,23,1,7
37,DOC0127,4.5,751,5,850,10.99,1,0,1,12,1,8
37,DOC0146,4.2,675,7,950,4.11,1,1,1,12,1,9
38,DOC0075,4.3,515,29,900,17.18,1,1,1,25,0,7
38,DOC0094,4.0,303,28,400,7.8,1,0,0,12,0,7
38,DOC0120,3.8,152,23,950,18.84,1,1,1,10,0,5
38,DOC0121,3.4,776,12,950,16.3,1,1,1,9,0,4
39,DOC0015,4.3,707,32,300,13.63,1,0,0,22,1,9
39,DOC0027,3.5,72,9,300,10.98,0,0,0,21,1,6
39,DOC0033,4.2,640,22,850,19.57,1,0,1,11,1,8
39,DOC0080,3.8,644,8,400,7.93,1,0,2,15,1,8
39,DOC0104,3.6,643,30,300,11.02,1,0,0,16,1,9
39,DOC0124,3.3,534,27,800,21.52,1,0,1,13,1,6
39,DOC0140,4.3,607,14,850,9.0,0,1,1,19,1,8
40,DOC0025,3.6,576,31,550,13.3,1,1,0,24,0,7
40,DOC0050,3.5,97,15,2600,4.85,1,1,1,15,0,7
40,DOC0089,4.1,45,29,1300,12.05,1,0,2,25,0,6
40,DOC0106,3.8,517,11,2450,22.25,1,1,1,21,0,5
40,DOC0141,3.6,140,26,2400,8.4,1,1,1,16,0,6
41,DOC0003,4.4,407,22,200,16.07,0,1,0,17,1,9
41,DOC0035,4.0,587,19,850,2.75,0,1,1,21,1,9
41,DOC0054,4.2,206,3,900,14.28,1,0,1,19,1,7
41,DOC0061,3.7,251,10,800,6.39,1,0,1,20,1,8
41,DOC0100,4.1,445,29,250,6.35,1,1,0,18,1,9
41,DOC0137,4.2,456,13,900,11.16,1,0,1,22,1,8
42,DOC0001,4.0,738,19,400,7.05,1,0,0,15,0,7
42,DOC0026,3.8,138,31,300,7.16,1,0,0,25,0,5
42,DOC0043,4.3,743,5,1200,9.7,1,1,1,21,0,6
42,DOC0060,4.0,607,6,1350,8.73,1,0,1,23,0,5
42,DOC0063,4.3,725,10,1200,8.03,1,0,1,17,0,6
42,DOC0091,4.1,474,22,350,6.05,1,1,0,15,0,9
42,DOC0130,3.6,667,22,1300,11.4,1,1,1,15,0,7
42,DOC0138,4.7,96,11,1300,4.69,1,1,1,20,0,8
43,DOC0014,4.0,151,27,300,15.8,1,1,0,25,1,9
43,DOC0045,3.7,637,30,1000,5.14,1,1,1,23,1,9
43,DOC0051,3.8,399,28,900,12.78,0,1,1,18,1,9
43,DOC0062,3.8,644,21,900,8.41,1,0,1,11,1,9
43,DOC0114,4.4,500,7,850,9.87,1,0,1,17,1,8
43,DOC0145,3.8,608,15,950,10.14,0,1,1,18,1,9
44,DOC0006,4.6,675,17,450,14.97,1,1,0,15,1,9
44,DOC0016,3.4,239,10,400,5.97,1,1,0,23,1,8
44,DOC0036,4.6,331,12,1650,2.7,1,1,1,21,0,9
44,DOC0052,4.3,744,23,1800,13.64,1,0,1,13,0,7
44,DOC0064,4.4,290,5,1700,5.51,1,1,1,14,0,7
44,DOC0087,4.0,97,26,950,10.33,0,1,2,15,0,6
44,DOC0102,3.9,382,24,400,5.88,1,1,0,21,1,9
44,DOC0118,3.9,416,14,1800,6.96,1,0,1,18,0,6
44,DOC0123,3.8,259,17,1700,4.64,1,1,1,17,0,8
44,DOC0147,4.4,746,19,1600,10.33,1,0,1,24,0,7
45,DOC0005,4.5,706,23,350,6.99,1,0,0,10,1,9
45,DOC0020,3.6,485,3,250,11.94,1,0,0,25,1,7
45,DOC0042,4.0,661,27,950,11.82,1,0,1,22,1,9
45,DOC0059,4.4,300,14,800,12.63,0,1,1,9,1,9
45,DOC0072,4.5,584,25,800,8.35,0,1,1,21,1,9
45,DOC0084,4.0,244,22,550,15.86,1,1,2,16,1,9
45,DOC0111,3.6,100,30,800,9.23,1,1,1,17,1,9
45,DOC0122,3.8,205,15,800,13.01,1,1,1,13,1,9
45,DOC0143,4.8,748,25,750,8.92,1,0,1,13,1,9
46,DOC0004,4.0,697,25,150,7.61,1,1,0,17,1,9
46,DOC0019,4.4,262,6,150,6.85,1,1,0,23,1,9
46,DOC0034,3.9,392,3,900,9.14,1,1,1,18,1,8
46,DOC0066,4.3,468,11,900,7.55,0,1,1,9,1,9
46,DOC0077,3.7,685,18,550,10.79,0,1,2,18,1,9
46,DOC0093,3.8,598,4,350,5.76,1,0,0,25,1,8
46,DOC0132,3.7,64,15,950,10.85,1,1,1,19,1,9
46,DOC0144,3.9,46,10,950,4.96,1,0,1,19,1,8
47,DOC0012,4.6,176,29,300,13.77,1,1,0,13,0,8
47,DOC0029,3.6,150,4,350,9.5,0,0,0,19,0,2
47,DOC0040,3.9,144,4,900,4.15,1,1,1,22,0,5
47,DOC0056,4.0,434,5,800,15.28,1,1,1,17,0,5
47,DOC0074,4.1,91,9,1000,0.95,1,0,1,21,0,7
47,DOC0076,3.7,470,13,550,14.17,0,1,2,22,0,5
47,DOC0101,3.9,776,5,150,8.91,1,1,0,12,1,7
47,DOC0135,4.2,279,32,850,5.02,0,1,1,14,0,8
47,DOC0142,4.2,95,9,800,11.35,1,1,1,22,0,6
48,DOC0003,4.4,407,22,200,17.03,0,1,0,17,1,9
48,DOC0035,4.0,587,19,850,12.24,0,1,1,21,1,9
48,DOC0054,4.2,206,3,900,10.43,1,0,1,19,1,8
48,DOC0061,3.7,251,10,800,15.06,1,0,1,20,1,7
48,DOC0100,4.1,445,29,250,6.27,1,1,0,18,1,9
48,DOC0137,4.2,456,13,900,10.22,1,0,1,22,1,9
49,DOC0006,4.6,675,17,450,5.05,1,1,0,15,1,9
49,DOC0016,3.4,239,10,400,14.51,1,1,0,23,1,8
49,DOC0036,4.6,331,12,1650,15.62,1,1,1,21,1,9
49,DOC0052,4.3,744,23,1800,12.88,1,0,1,13,1,9
49,DOC0064,4.4,290,5,1700,12.2,1,1,1,14,1,8
49,DOC0087,4.0,97,26,950,17.82,0,1,2,15,1,8
49,DOC0102,3.9,382,24,400,13.4,1,1,0,21,1,9
49,DOC0118,3.9,416,14,1800,13.01,1,0,1,18,1,7
49,DOC0123,3.8,259,17,1700,16.87,1,1,1,17,1,8
49,DOC0147,4.4,746,19,1600,9.95,1,0,1,24,1,9
50,DOC0005,4.5,706,23,350,11.87,1,0,0,10,1,9
50,DOC0020,3.6,485,3,250,3.42,1,0,0,25,1,8
50,DOC0042,4.0,661,27,950,6.12,1,0,1,22,1,9
50,DOC0059,4.4,300,14,800,10.1,0,1,1,9,1,9
50,DOC0072,4.5,584,25,800,7.07,0,1,1,21,1,9
50,DOC0084,4.0,244,22,550,8.09,1,1,2,16,1,9
50,DOC0111,3.6,100,30,800,8.81,1,1,1,17,1,9
50,DOC0122,3.8,205,15,800,8.08,1,1,1,13,1,9
50,DOC0143,4.8,748,25,750,6.75,1,0,1,13,1,9
51,DOC0009,4.5,132,7,300,5.3,1,1,0,13,1,9
51,DOC0017,3.4,766,24,250,8.39,0,1,0,11,1,8
51,DOC0032,4.6,138,13,1000,11.43,1,1,1,16,1,9
51,DOC0047,3.5,73,11,950,8.18,1,0,1,19,1,6
51,DOC0069,3.9,798,25,900,9.49,1,0,1,22,1,8
51,DOC0086,4.2,563,7,550,11.72,1,1,2,16,1,9
51,DOC0098,3.8,87,13,300,7.28,0,1,0,25,1,7
51,DOC0107,3.6,245,6,800,10.95,1,1,1,9,1,7
51,DOC0133,3.9,360,26,900,13.1,0,1,1,19,1,8
51,DOC0136,4.3,764,11,950,4.38,1,1,1,21,1,9
52,DOC0007,4.4,600,28,250,15.84,1,1,0,18,1,9
52,DOC0023,3.9,753,5,250,3.5,1,1,0,16,1,9
52,DOC0038,3.5,708,29,1000,6.75,1,0,1,14,1,9
52,DOC0070,3.8,693,30,900,9.87,1,0,1,22,1,9
52,DOC0083,4.5,425,12,550,6.49,1,1,2,9,1,9
52,DOC0099,4.2,690,19,300,4.27,1,1,0,25,1,9
52,DOC0109,4.4,63,19,900,11.39,1,1,1,22,1,9
52,DOC0125,3.7,147,30,850,8.42,1,1,1,13,1,9
